is_control,user_id,premium_signup_date,premium_cancellation_date
true,2894666,2020-01-17 17:56:52,2020-01-17 18:01:51
true,2891900,2020-01-17 15:09:02,2020-01-17 15:15:52
true,2834881,2020-01-12 23:22:54,
true,2866240,2020-02-03 01:53:46,
false,2805370,2020-01-10 20:48:12,2020-01-10 20:55:02
true,2870696,,
false,2802754,,
true,2762277,,
false,2904430,,
true,2818909,2020-01-11 21:46:41,
true,2856976,,
true,2801301,,
true,2790957,,
true,2852123,2020-01-14 06:15:30,
true,2851588,,
true,2836942,2020-01-15 17:04:18,
true,2859036,,
true,2803766,,
false,2908060,,
true,2926778,,
true,2849032,2020-01-14 00:19:39,
true,2904211,,
true,2806896,,
true,2850012,2020-01-14 02:07:51,
true,2804862,,
true,2920937,,
true,2880892,2020-01-16 16:37:57,
true,2843764,,
false,2908746,2020-01-19 04:53:56,
true,2912266,,
true,2883478,,
true,2818341,,
true,2792111,,
true,2857215,,
true,2787593,2020-01-09 19:19:09,
true,2899826,2020-01-18 06:04:38,2020-02-24 13:55:16
true,2841910,,
true,2925491,,
true,2873239,2020-01-16 00:42:28,2020-01-16 00:45:35
true,2829607,,
true,2859524,,
true,2791521,,
true,2929878,,
true,2901844,2020-01-18 14:49:32,2020-01-18 14:56:26
true,2925991,2020-01-20 18:25:54,2020-01-23 01:13:44
false,2908772,,
true,2852010,,
true,2891480,2020-01-17 14:49:47,
true,2816928,,
true,2855301,2020-01-14 16:16:27,2020-01-24 14:55:42
true,2761993,,
true,2853728,,
true,2759584,,
true,2885178,,
true,2924338,,
true,2896628,,
true,2918088,2020-01-20 19:52:00,
true,2888839,,
true,2833354,,
true,2861042,2020-01-15 01:08:04,
true,2915698,2020-01-19 22:33:03,2020-01-21 22:17:53
true,2904829,,
true,2853588,,
true,2859485,2020-01-14 22:45:09,
true,2906843,,
true,2924814,,
true,2868431,2020-01-15 17:40:58,2020-01-24 05:26:05
true,2840625,,
true,2870673,2020-01-15 21:06:20,2020-01-19 01:18:01
true,2895168,,
true,2930273,2020-01-20 23:56:23,
true,2875954,2020-01-16 04:25:27,
true,2876974,,
true,2919599,,
true,2855088,,
true,2866851,2020-01-15 15:14:29,
true,2904763,,
true,2895492,,
true,2931104,,
true,2790248,,
true,2823391,,
true,2806109,,
false,2917539,2020-01-20 01:08:46,2020-01-20 01:16:12
false,2877419,,
true,2789380,,
true,2819179,,
true,2858937,2020-01-14 21:48:58,
true,2851799,2020-01-14 05:12:09,
true,2783814,,
true,2883031,2020-01-21 18:08:24,
true,2856380,2020-01-14 17:49:42,
false,2801330,2020-01-10 16:06:19,2020-01-21 18:42:56
true,2901219,2020-01-18 13:38:45,
true,2823135,,
true,2816070,,
true,2876344,,
true,2855219,2020-01-14 16:01:40,2020-01-14 16:17:08
true,2870143,2020-01-15 21:04:15,
true,2853156,,
true,2808096,,
true,2805747,,
true,2829025,2020-01-12 16:41:46,
false,2926688,,
true,2809712,,
true,2819416,,
true,2784288,2020-01-27 22:25:01,
true,2893049,,
true,2873422,,
true,2827808,2020-01-12 15:30:54,2020-01-12 16:55:35
true,2865630,2020-01-15 12:52:29,
true,2889426,,
true,2838414,2020-01-13 03:23:32,2020-02-01 20:00:16
true,2812372,,
true,2907280,2020-01-19 01:25:14,
true,2821195,2020-01-12 01:24:47,
true,2834459,,
true,2888422,,
true,2802724,2020-01-10 17:30:59,
true,2925064,,
true,2884676,2020-01-16 22:47:30,2020-01-24 16:01:33
true,2906219,,
true,2848621,2020-01-13 23:28:26,
true,2859031,2020-01-14 21:55:22,
true,2926183,2020-01-20 18:40:41,
true,2881587,2020-01-16 17:40:04,
true,2903732,,
true,2898182,2020-01-18 01:29:00,
true,2795778,,
true,2909086,2020-01-19 06:18:03,
true,2919478,2020-01-20 03:46:44,
true,2815667,,
false,2824740,2020-01-25 23:33:22,
true,2802189,2020-01-10 17:01:44,2020-01-10 17:06:56
true,2886267,2020-01-17 01:08:23,
true,2918097,,
true,2858058,2020-01-14 20:15:31,
true,2804754,,
true,2904887,,
true,2786960,,
true,2807664,2020-01-10 23:59:18,2020-01-31 13:10:43
true,2886808,,
true,2826327,,
true,2913919,2020-01-19 19:36:36,
false,2832367,,
true,2810702,,
true,2849436,,
true,2894314,,
false,2853872,,
true,2920099,,
true,2816261,2020-01-11 17:55:04,
true,2918102,,
true,2930456,2020-01-20 23:57:41,
true,2916864,,
true,2799901,,
true,2807075,2020-01-10 23:57:35,2020-02-09 02:53:31
true,2886300,,
true,2820194,2020-01-11 23:41:30,
true,2808752,,
false,2909166,,
true,2872006,2020-01-15 23:01:54,
true,2925828,,
true,2807383,,
true,2833845,,
true,2911348,,
true,2910471,2020-01-19 13:49:14,
true,2882288,,
true,2863604,,
true,2799810,,
true,2877135,,
true,2874338,2020-01-16 02:10:56,
true,2812229,2020-01-11 07:56:33,
true,2873856,,
true,2796524,,
true,2887814,,
true,2900989,,
true,2794833,2020-01-10 03:05:08,
true,2904632,2020-01-18 19:52:20,
true,2824536,,
true,2814144,,
true,2879701,2020-01-16 14:53:21,
false,2787812,2020-01-09 19:22:48,2020-01-18 02:00:31
false,2917063,,
true,2788061,,
true,2808593,2020-01-11 01:18:53,2020-01-15 18:31:53
true,2879231,2020-01-16 14:06:23,
true,2790028,,
true,2841809,2020-01-18 07:10:24,
false,2893690,2020-01-17 16:50:14,
true,2880516,,
true,2890778,2020-01-17 13:14:15,
true,2843797,,
true,2907672,,
true,2792388,,
true,2827569,,
true,2855600,2020-01-14 16:38:49,2020-02-05 18:08:42
true,2872601,2020-01-15 23:49:04,2020-01-21 06:54:53
true,2835461,2020-01-13 00:05:48,2020-01-21 01:49:16
false,2819560,2020-01-11 22:38:37,2020-01-31 01:32:58
true,2866820,,
false,2862099,,
true,2803852,,
true,2823684,,
true,2927837,2020-01-20 20:49:14,
true,2929343,,
true,2827098,,
true,2927470,2020-02-13 11:46:31,2020-02-13 11:55:09
true,2910472,,
true,2914635,,
true,2807812,2020-01-11 00:14:12,
true,2815277,,
true,2818196,2020-01-11 20:33:43,2020-02-14 04:27:11
true,2809037,,
true,2866426,2020-01-15 18:51:45,
true,2809718,,
true,2767214,,
true,2925752,2020-01-20 18:00:43,
true,2917495,2020-01-20 14:20:28,
false,2858856,,
true,2893982,2020-01-17 17:59:35,
true,2815441,,
true,2863350,,
true,2926876,,
true,2913105,2020-01-19 18:24:42,
true,2848173,,
true,2891956,2020-01-17 15:12:15,
true,2894765,,
true,2848438,,
true,2817211,,
